datetime,open,high,low,close,volume,spread,real_volume
2025-08-13 22:35:00+00:00,23825.35,23832.35,23815.45,23817.65,1084,80,0
2025-08-13 22:40:00+00:00,23817.25,23825.45,23811.45,23814.15,1178,80,0
2025-08-13 22:45:00+00:00,23815.65,23823.85,23812.15,23822.85,1113,80,0
2025-08-13 22:50:00+00:00,23822.75,23848.45,23822.75,23843.45,1405,80,0
2025-08-13 22:55:00+00:00,23841.55,23856.35,23841.45,23843.45,1596,80,0
2025-08-13 23:00:00+00:00,23842.95,23858.36,23842.86,23848.46,999,80,0
2025-08-13 23:05:00+00:00,23847.46,23847.46,23830.16,23830.16,884,218,0
2025-08-13 23:10:00+00:00,23829.76,23833.66,23828.66,23831.56,538,188,0
2025-08-13 23:15:00+00:00,23831.06,23832.46,23826.16,23828.36,337,178,0
2025-08-13 23:20:00+00:00,23827.96,23828.36,23823.86,23826.96,262,178,0
2025-08-13 23:25:00+00:00,23827.16,23827.16,23823.26,23825.16,208,178,0
2025-08-13 23:30:00+00:00,23825.26,23827.16,23822.66,23823.66,190,168,0
2025-08-13 23:35:00+00:00,23823.76,23828.46,23822.06,23825.96,219,168,0
2025-08-13 23:40:00+00:00,23825.96,23826.46,23821.46,23822.16,201,168,0
2025-08-13 23:45:00+00:00,23821.96,23828.16,23821.46,23827.66,204,168,0
2025-08-14 01:05:00+00:00,23823.06,23826.06,23813.86,23813.86,352,178,0
2025-08-14 01:10:00+00:00,23814.06,23824.16,23813.66,23819.16,314,178,0
2025-08-14 01:15:00+00:00,23819.66,23824.46,23818.46,23822.96,181,168,0
2025-08-14 01:20:00+00:00,23823.26,23828.56,23822.96,23827.46,203,168,0
2025-08-14 01:25:00+00:00,23827.56,23836.76,23827.46,23834.56,242,168,0
2025-08-14 01:30:00+00:00,23834.46,23834.96,23832.16,23832.76,179,168,0
2025-08-14 01:35:00+00:00,23832.86,23837.26,23832.76,23835.26,169,168,0
2025-08-14 01:40:00+00:00,23834.76,23841.46,23833.96,23840.96,173,168,0
2025-08-14 01:45:00+00:00,23841.16,23848.06,23839.46,23847.46,266,168,0
2025-08-14 01:50:00+00:00,23847.46,23852.36,23846.66,23848.16,188,168,0
2025-08-14 01:55:00+00:00,23848.16,23850.66,23847.16,23850.46,140,168,0
2025-08-14 02:00:00+00:00,23850.36,23854.95,23848.85,23852.05,257,150,0
2025-08-14 02:05:00+00:00,23851.85,23852.45,23847.35,23849.55,160,150,0
2025-08-14 02:10:00+00:00,23849.45,23851.55,23843.05,23843.85,134,150,0
2025-08-14 02:15:00+00:00,23843.55,23846.75,23840.25,23844.35,175,150,0
2025-08-14 02:20:00+00:00,23844.05,23848.75,23844.05,23846.05,151,150,0
2025-08-14 02:25:00+00:00,23846.05,23847.85,23844.85,23847.35,90,150,0
2025-08-14 02:30:00+00:00,23847.75,23852.05,23847.45,23852.05,130,150,0
2025-08-14 02:35:00+00:00,23851.55,23856.55,23850.05,23854.05,178,150,0
2025-08-14 02:40:00+00:00,23854.25,23865.25,23854.25,23864.95,246,150,0
2025-08-14 02:45:00+00:00,23864.75,23864.95,23852.95,23857.15,284,170,0
2025-08-14 02:50:00+00:00,23856.95,23858.55,23852.85,23853.75,198,150,0
2025-08-14 02:55:00+00:00,23854.05,23854.95,23850.25,23850.85,208,150,0
2025-08-14 03:00:00+00:00,23851.35,23853.85,23844.95,23850.55,625,150,0
2025-08-14 03:05:00+00:00,23850.35,23859.15,23850.05,23857.35,568,170,0
2025-08-14 03:10:00+00:00,23856.95,23860.05,23853.85,23859.25,513,160,0
2025-08-14 03:15:00+00:00,23859.05,23859.05,23853.45,23854.45,387,160,0
2025-08-14 03:20:00+00:00,23854.75,23857.45,23852.55,23853.55,296,160,0
2025-08-14 03:25:00+00:00,23853.75,23859.25,23853.45,23856.85,244,150,0
2025-08-14 03:30:00+00:00,23856.85,23859.55,23852.75,23853.75,375,150,0
2025-08-14 03:35:00+00:00,23854.25,23854.65,23843.15,23846.95,420,160,0
2025-08-14 03:40:00+00:00,23847.05,23848.75,23836.25,23836.95,431,160,0
2025-08-14 03:45:00+00:00,23836.95,23837.45,23833.65,23836.05,371,160,0
2025-08-14 03:50:00+00:00,23836.15,23839.25,23832.75,23838.25,306,160,0
2025-08-14 03:55:00+00:00,23838.45,23838.95,23831.95,23833.65,388,160,0
2025-08-14 04:00:00+00:00,23833.25,23835.95,23822.95,23823.85,457,150,0
2025-08-14 04:05:00+00:00,23823.75,23831.65,23822.95,23826.45,555,170,0
2025-08-14 04:10:00+00:00,23826.45,23837.05,23826.35,23833.25,381,160,0
2025-08-14 04:15:00+00:00,23833.25,23833.55,23824.85,23825.85,557,160,0
2025-08-14 04:20:00+00:00,23826.65,23829.75,23826.05,23826.95,418,160,0
2025-08-14 04:25:00+00:00,23827.05,23830.95,23825.05,23826.95,327,150,0
2025-08-14 04:30:00+00:00,23826.85,23829.05,23824.45,23826.65,429,150,0
2025-08-14 04:35:00+00:00,23826.75,23828.55,23822.75,23826.55,384,150,0
2025-08-14 04:40:00+00:00,23826.25,23826.75,23819.45,23820.05,408,150,0
2025-08-14 04:45:00+00:00,23820.05,23830.15,23818.35,23829.75,361,150,0
2025-08-14 04:50:00+00:00,23829.75,23835.75,23828.25,23834.55,373,160,0
2025-08-14 04:55:00+00:00,23834.25,23836.65,23832.45,23832.95,304,160,0
2025-08-14 05:00:00+00:00,23832.95,23835.65,23829.45,23834.75,340,160,0
2025-08-14 05:05:00+00:00,23834.65,23841.95,23834.05,23839.45,314,150,0
2025-08-14 05:10:00+00:00,23839.25,23839.65,23833.05,23834.05,277,150,0
2025-08-14 05:15:00+00:00,23834.35,23836.25,23832.25,23833.55,246,150,0
2025-08-14 05:20:00+00:00,23833.55,23836.05,23831.75,23832.95,209,150,0
2025-08-14 05:25:00+00:00,23832.95,23834.25,23831.55,23832.75,133,150,0
2025-08-14 05:30:00+00:00,23831.85,23833.35,23828.75,23829.95,205,150,0
2025-08-14 05:35:00+00:00,23830.05,23831.05,23825.35,23829.05,202,150,0
2025-08-14 05:40:00+00:00,23828.95,23836.25,23827.85,23835.55,212,150,0
2025-08-14 05:45:00+00:00,23835.55,23835.85,23827.85,23830.95,195,150,0
2025-08-14 05:50:00+00:00,23830.85,23833.55,23829.95,23833.05,117,150,0
2025-08-14 05:55:00+00:00,23832.55,23841.05,23832.45,23841.05,276,150,0
2025-08-14 06:00:00+00:00,23841.05,23846.05,23839.85,23846.05,246,150,0
2025-08-14 06:05:00+00:00,23846.25,23846.55,23838.25,23839.75,213,150,0
2025-08-14 06:10:00+00:00,23839.15,23840.05,23834.05,23836.35,171,150,0
2025-08-14 06:15:00+00:00,23836.45,23836.55,23832.25,23833.35,143,150,0
2025-08-14 06:20:00+00:00,23832.95,23834.05,23830.55,23832.55,162,150,0
2025-08-14 06:25:00+00:00,23832.45,23835.85,23831.85,23832.35,154,150,0
2025-08-14 06:30:00+00:00,23832.85,23832.85,23828.55,23830.75,211,150,0
2025-08-14 06:35:00+00:00,23830.85,23832.35,23829.85,23830.85,149,150,0
2025-08-14 06:40:00+00:00,23830.55,23834.85,23830.05,23830.85,201,150,0
2025-08-14 06:45:00+00:00,23830.95,23831.55,23828.05,23828.35,177,150,0
2025-08-14 06:50:00+00:00,23828.05,23830.85,23826.05,23827.85,165,150,0
2025-08-14 06:55:00+00:00,23827.95,23829.45,23823.75,23827.75,199,150,0
2025-08-14 07:00:00+00:00,23827.35,23830.05,23826.75,23828.35,172,150,0
2025-08-14 07:05:00+00:00,23828.35,23831.35,23828.35,23830.35,117,150,0
2025-08-14 07:10:00+00:00,23830.05,23832.55,23828.45,23831.85,135,150,0
2025-08-14 07:15:00+00:00,23831.95,23833.85,23831.85,23832.85,127,150,0
2025-08-14 07:20:00+00:00,23832.75,23832.85,23823.75,23824.05,185,150,0
2025-08-14 07:25:00+00:00,23824.35,23826.05,23823.85,23824.85,176,150,0
2025-08-14 07:30:00+00:00,23824.85,23829.95,23822.05,23829.85,176,150,0
2025-08-14 07:35:00+00:00,23829.55,23836.55,23829.55,23836.05,139,150,0
2025-08-14 07:40:00+00:00,23835.75,23837.25,23835.15,23835.55,130,150,0
2025-08-14 07:45:00+00:00,23835.45,23838.25,23835.15,23836.65,159,150,0
2025-08-14 07:50:00+00:00,23836.55,23838.65,23835.95,23838.55,135,150,0
2025-08-14 07:55:00+00:00,23838.55,23838.65,23836.05,23836.55,153,150,0
2025-08-14 08:00:00+00:00,23836.45,23837.75,23834.45,23835.95,146,150,0
2025-08-14 08:05:00+00:00,23836.05,23837.25,23828.55,23828.55,180,150,0
2025-08-14 08:10:00+00:00,23828.75,23829.95,23826.65,23827.55,180,150,0
2025-08-14 08:15:00+00:00,23828.25,23829.75,23827.05,23829.75,174,150,0
2025-08-14 08:20:00+00:00,23829.75,23830.05,23827.75,23828.15,224,150,0
2025-08-14 08:25:00+00:00,23828.05,23831.65,23823.05,23831.15,270,150,0
2025-08-14 08:30:00+00:00,23831.25,23833.85,23829.25,23832.95,252,150,0
2025-08-14 08:35:00+00:00,23832.75,23833.75,23825.45,23825.75,272,150,0
2025-08-14 08:40:00+00:00,23825.45,23826.75,23816.35,23818.45,331,150,0
2025-08-14 08:45:00+00:00,23818.35,23822.25,23805.65,23807.15,433,160,0
2025-08-14 08:50:00+00:00,23807.15,23810.85,23800.55,23807.35,467,180,0
2025-08-14 08:55:00+00:00,23808.25,23813.25,23807.75,23812.95,309,160,0
2025-08-14 09:00:00+00:00,23812.85,23816.45,23807.35,23815.65,413,160,0
2025-08-14 09:05:00+00:00,23815.65,23819.75,23813.95,23814.25,345,150,0
2025-08-14 09:10:00+00:00,23814.05,23814.55,23805.65,23807.05,423,150,0
2025-08-14 09:15:00+00:00,23806.75,23812.85,23802.55,23811.95,464,170,0
