trade_id,entry_time,exit_time,entry_price,exit_price,side,qty,filled,sl,tp,raw_pnl,fee,pnl,margin,return,comments
0,2025-05-01 06:55:00+00:00,2025-05-01 07:10:00+00:00,94879.81,94961.07,sell,0.01,0.01,94961.07,94758.16,-0.8126000000000931,0.0,-0.8126000000000931,9999.1874,-8.126000000000932e-05,
1,2025-05-01 07:15:00+00:00,2025-05-01 07:50:00+00:00,94982.73,95101.52,sell,0.01,0.01,94903.40000000001,95101.52,1.1879000000000814,0.0,1.1879000000000814,10000.375300000002,0.00011879965365986454,
2,2025-05-01 13:55:00+00:00,2025-05-01 14:05:00+00:00,95959.03,96160.05,sell,0.01,0.01,96160.05,95657.73,-2.0102000000000406,0.0,-2.0102000000000406,9998.3651,-0.00020101245600253026,
3,2025-05-01 14:25:00+00:00,2025-05-01 14:35:00+00:00,96341.22,96650.76,sell,0.01,0.01,96134.72,96650.76,3.095399999999936,0.0,3.095399999999936,10001.460500000001,0.000309590614969635,
4,2025-05-01 17:40:00+00:00,2025-05-01 18:30:00+00:00,96743.92,96476.26,sell,0.01,0.01,96922.52,96476.26,2.676600000000035,0.0,2.676600000000035,10004.137100000002,0.0002676209139655188,
5,2025-05-01 20:35:00+00:00,2025-05-01 20:50:00+00:00,96603.7,96433.84,sell,0.01,0.01,96433.84,96858.26,-1.6986000000000059,0.0,-1.6986000000000059,10002.438500000002,-0.00016978975627992998,
6,2025-05-01 20:45:00+00:00,2025-05-01 21:40:00+00:00,96579.92,96741.54000000001,sell,0.01,0.01,96741.54000000001,96337.73,-1.616200000000099,0.0,-1.616200000000099,10000.822300000002,-0.0001615805985710483,
7,2025-05-01 21:35:00+00:00,2025-05-01 21:40:00+00:00,96558.55,96746.92,sell,0.01,0.01,96432.81,96746.92,1.8836999999999535,0.0,1.8836999999999535,10002.706000000002,0.00018835451160850576,
8,2025-05-01 21:55:00+00:00,2025-05-01 22:35:00+00:00,96579.28,96381.5,sell,0.01,0.01,96711.29000000001,96381.5,1.9777999999999885,0.0,1.9777999999999885,10004.683800000003,0.00019772649521039486,
9,2025-05-02 00:10:00+00:00,2025-05-02 00:20:00+00:00,96551.01,96707.40000000001,sell,0.01,0.01,96446.61,96707.40000000001,1.5639000000001397,0.0,1.5639000000001397,10006.247700000004,0.00015631678434456262,
10,2025-05-02 04:50:00+00:00,2025-05-02 05:50:00+00:00,96928.49,96781.27,sell,0.01,0.01,97026.78,96781.27,1.4722000000000117,0.0,1.4722000000000117,10007.719900000004,0.00014712807879021535,
11,2025-05-02 08:45:00+00:00,2025-05-02 09:00:00+00:00,96716.83,96603.83,sell,0.01,0.01,96603.83,96886.12,-1.1300000000000001,0.0,-1.1300000000000001,10006.589900000004,-0.00011291283242249812,
12,2025-05-02 12:30:00+00:00,2025-05-02 12:30:00+00:00,96790.41,96906.11,sell,0.01,0.01,96906.11,96617.08,-1.156999999999971,0.0,-1.156999999999971,10005.432900000005,-0.00011562380506869483,
13,2025-05-02 12:40:00+00:00,2025-05-02 12:55:00+00:00,96952.47,97150.7,sell,0.01,0.01,96820.16,97150.7,1.9822999999999593,0.0,1.9822999999999593,10007.415200000005,0.0001981223621018895,
14,2025-05-02 13:30:00+00:00,2025-05-02 13:35:00+00:00,96962.19,96754.58,sell,0.01,0.01,97100.74,96754.58,2.076100000000006,0.0,2.076100000000006,10009.491300000005,0.0002074561671029703,
15,2025-05-02 14:20:00+00:00,2025-05-02 14:30:00+00:00,96978.31,97255.8,sell,0.01,0.01,96793.17,97255.8,2.7749000000000525,0.0,2.7749000000000525,10012.266200000005,0.0002772268756555142,
16,2025-05-02 17:10:00+00:00,2025-05-02 17:20:00+00:00,97128.77,97298.52,sell,0.01,0.01,97298.52,96874.38,-1.6975,0.0,-1.6975,10010.568700000005,-0.00016954203634737548,
17,2025-05-02 18:20:00+00:00,2025-05-02 18:50:00+00:00,97465.08,97335.66,sell,0.01,0.01,97335.66,97659.0,-1.2941999999999825,0.0,-1.2941999999999825,10009.274500000005,-0.0001292833642907802,
18,2025-05-02 18:55:00+00:00,2025-05-02 19:00:00+00:00,97265.91,97069.54000000001,sell,0.01,0.01,97396.98,97069.54000000001,1.9636999999999534,0.0,1.9636999999999534,10011.238200000005,0.00019618804539729153,
19,2025-05-02 23:55:00+00:00,2025-05-03 00:25:00+00:00,96834.75,96762.66,sell,0.01,0.01,96762.66,96942.67,-0.7208999999999651,0.0,-0.7208999999999651,10010.517300000005,-7.20090747615979e-05,
20,2025-05-03 00:45:00+00:00,2025-05-03 01:15:00+00:00,96669.44,96563.83,sell,0.01,0.01,96740.0,96563.83,1.0561000000000058,0.0,1.0561000000000058,10011.573400000005,0.00010549904349098975,
21,2025-05-03 04:45:00+00:00,2025-05-03 05:05:00+00:00,96561.75,96492.51,sell,0.01,0.01,96492.51,96665.37,-0.6924000000000524,0.0,-0.6924000000000524,10010.881000000005,-6.915995841373465e-05,
22,2025-05-03 05:10:00+00:00,2025-05-03 05:15:00+00:00,96467.44,96525.52,sell,0.01,0.01,96525.52,96380.56,-0.5808000000000175,0.0,-0.5808000000000175,10010.300200000005,-5.801687184175072e-05,
23,2025-05-03 05:35:00+00:00,2025-05-03 05:40:00+00:00,96500.08,96584.41,sell,0.01,0.01,96443.72,96584.41,0.8433000000000175,0.0,0.8433000000000175,10011.143500000006,8.424322779051292e-05,
24,2025-05-03 06:05:00+00:00,2025-05-03 06:15:00+00:00,96377.34,96291.2,sell,0.01,0.01,96434.93000000001,96291.2,0.8613999999999942,0.0,0.8613999999999942,10012.004900000005,8.60441167385118e-05,
25,2025-05-03 08:45:00+00:00,2025-05-03 08:50:00+00:00,96362.11,96292.38,sell,0.01,0.01,96292.38,96466.47,-0.6972999999999593,0.0,-0.6972999999999593,10011.307600000006,-6.964639020501866e-05,
26,2025-05-03 09:55:00+00:00,2025-05-03 10:30:00+00:00,96241.69,96139.04000000001,sell,0.01,0.01,96310.28,96139.04000000001,1.0264999999999418,0.0,1.0264999999999418,10012.334100000005,0.00010253405858790526,
27,2025-05-03 12:45:00+00:00,2025-05-03 13:25:00+00:00,96140.09,96251.69,sell,0.01,0.01,96065.55,96251.69,1.1160000000000583,0.0,1.1160000000000583,10013.450100000005,0.0001114625210119644,
28,2025-05-03 16:20:00+00:00,2025-05-03 16:35:00+00:00,96276.91,96188.0,sell,0.01,0.01,96336.34,96188.0,0.889100000000035,0.0,0.889100000000035,10014.339200000006,8.879057578766328e-05,
29,2025-05-03 19:15:00+00:00,2025-05-03 19:30:00+00:00,96204.8,96292.33,sell,0.01,0.01,96146.29000000001,96292.33,0.8752999999999884,0.0,0.8752999999999884,10015.214500000006,8.740466869746014e-05,
30,2025-05-03 22:00:00+00:00,2025-05-03 22:05:00+00:00,96266.08,96321.52,sell,0.01,0.01,96321.52,96183.16,-0.5544000000000233,0.0,-0.5544000000000233,10014.660100000005,-5.535577895011864e-05,
31,2025-05-04 02:05:00+00:00,2025-05-04 02:30:00+00:00,96244.33,96122.88,sell,0.01,0.01,96122.88,96426.29000000001,-1.2144999999999708,0.0,-1.2144999999999708,10013.445600000005,-0.00012127221372195849,
32,2025-05-04 02:55:00+00:00,2025-05-04 03:05:00+00:00,95877.66,95696.02,sell,0.01,0.01,95998.91,95696.02,1.8163999999999942,0.0,1.8163999999999942,10015.262000000004,0.00018139610205701755,
33,2025-05-04 05:25:00+00:00,2025-05-04 05:45:00+00:00,95898.08,96041.48,sell,0.01,0.01,95802.32,96041.48,1.4339999999999418,0.0,1.4339999999999418,10016.696000000004,0.00014318147643066563,
34,2025-05-04 07:40:00+00:00,2025-05-04 07:45:00+00:00,95809.55,95884.64,sell,0.01,0.01,95884.64,95697.13,-0.750899999999965,0.0,-0.750899999999965,10015.945100000004,-7.496483870529412e-05,
35,2025-05-04 12:35:00+00:00,2025-05-04 12:45:00+00:00,95446.66,95554.15000000001,sell,0.01,0.01,95374.84,95554.15000000001,1.0749000000000524,0.0,1.0749000000000524,10017.020000000004,0.00010731887897429189,
36,2025-05-04 13:20:00+00:00,2025-05-04 13:30:00+00:00,95355.47,95435.09,sell,0.01,0.01,95435.09,95236.28,-0.7961999999999535,0.0,-0.7961999999999535,10016.223800000003,-7.948471701164151e-05,
37,2025-05-04 14:20:00+00:00,2025-05-04 14:50:00+00:00,95505.06,95630.69,sell,0.01,0.01,95421.16,95630.69,1.2563000000000466,0.0,1.2563000000000466,10017.480100000004,0.00012542651053783823,
